iter	RMSE
0	1.918899906
1	1.781655429
2	1.686684044
3	1.621527343
4	1.577511962
5	1.547197778
6	1.525894802
7	1.512519049
8	1.503408554
9	1.496843353
10	1.491748138
11	1.488211548
12	1.485450669
13	1.48365998
14	1.481953729
15	1.480593989
16	1.479200067
17	1.478096939
18	1.477423708
19	1.476468156
20	1.475849534
21	1.475285434
22	1.474914948
23	1.474524939
24	1.473935967
25	1.473633334
26	1.47301511
27	1.472532602
28	1.472211103
29	1.471878473
30	1.471482665
31	1.470743595
32	1.470315029
33	1.46994255
34	1.469604379
35	1.469064462
36	1.468938836
37	1.46852392
38	1.468125568
39	1.467740791
40	1.46733442
41	1.466940916
42	1.466674132
43	1.466371583
44	1.466232667
45	1.465912366
46	1.465655797
47	1.465574435
48	1.465234982
49	1.46471368
50	1.46451571
51	1.463933132
52	1.463780222
53	1.463638224
54	1.46312111
55	1.462728314
56	1.462294924
57	1.462078402
58	1.461705787
59	1.461278401
60	1.460788755
61	1.460297203
62	1.459847291
63	1.459453053
64	1.459324372
65	1.458873312
66	1.458317335
67	1.458115139
68	1.457671213
69	1.457340651
70	1.457150345
71	1.456966959
72	1.456599445
73	1.45623008
74	1.455989894
75	1.455592762
76	1.455211774
77	1.454916329
78	1.454477664
79	1.454286791
80	1.454028807
81	1.453725183
82	1.453214838
83	1.45311146
84	1.452859225
85	1.45264703
86	1.452344406
87	1.452093748
88	1.451894491
89	1.451403155
90	1.45120977
91	1.450860961
92	1.450519854
93	1.450331566
94	1.45010535
95	1.449554087
96	1.449451019
97	1.449165802
98	1.448747948
99	1.448535587
100	1.448319195
101	1.44784197
102	1.447437335
103	1.44687049
104	1.44667908
105	1.445943546
106	1.445731744
107	1.445502828
108	1.445106396
109	1.444931036
110	1.444601089
111	1.444179693
112	1.444034578
113	1.443765514
114	1.44342956
115	1.443204644
116	1.442863553
117	1.442751333
118	1.442502872
119	1.442120836
120	1.441729242
121	1.441406734
122	1.441076243
123	1.440675742
124	1.440039522
125	1.439847218
126	1.439623026
127	1.439085677
128	1.438513122
129	1.43822537
130	1.437842827
131	1.437752968
132	1.437565572
133	1.43718973
134	1.436997277
135	1.436557264
136	1.436384968
137	1.436023045
138	1.435838398
139	1.435594663
140	1.435345814
141	1.435225705
142	1.434907109
143	1.434540607
144	1.434322389
145	1.434164926
146	1.433744864
147	1.433588965
148	1.433335551
149	1.432919028
150	1.432672127
151	1.432427121
152	1.432110206
153	1.431631708
154	1.431439626
155	1.430970791
156	1.430542055
157	1.430226037
158	1.429939283
159	1.429687591
160	1.429422219
161	1.428974495
162	1.428725879
163	1.428429279
164	1.428145103
165	1.427921436
166	1.427583882
167	1.427178234
168	1.426811503
169	1.426669589
170	1.426271601
171	1.426078157
172	1.425893259
173	1.425594607
174	1.425536103
175	1.425325177
176	1.425130273
177	1.424984952
178	1.424649404
179	1.424386947
180	1.423917723
181	1.423749798
182	1.42353969
183	1.423308529
184	1.423051502
185	1.422600863
186	1.422346431
187	1.422060035
188	1.421632109
189	1.421414707
190	1.421213249
191	1.420952341
192	1.420694303
193	1.420416084
194	1.42012564
195	1.419829011
196	1.419663398
197	1.41936143
198	1.41909518
199	1.418626413
200	1.418487439
201	1.418254811
202	1.418083149
203	1.41780138
204	1.417447617
205	1.417277723
206	1.416862498
207	1.416420456
208	1.416219461
209	1.415837641
210	1.415484746
211	1.415083098
212	1.414767912
213	1.414384596
214	1.414088128
215	1.413827416
216	1.41329258
217	1.41299766
218	1.412868824
219	1.412620988
220	1.412531644
221	1.412362462
222	1.412121734
223	1.411889436
224	1.41151669
225	1.41111823
226	1.410812982
227	1.410309819
228	1.410240788
229	1.410048234
230	1.409902268
231	1.409645768
232	1.409370356
233	1.409116252
234	1.408576347
235	1.40842037
236	1.407994668
237	1.407736737
238	1.407435766
239	1.407150761
240	1.406888612
241	1.406498819
242	1.406292359
243	1.406107544
244	1.40585429
245	1.405548128
246	1.405177727
247	1.404956435
248	1.404775702
249	1.404658984
250	1.40444001
251	1.404211515
252	1.404079992
253	1.403798406
254	1.403495087
255	1.403318322
256	1.403022676
257	1.402727934
258	1.402586716
259	1.402432783
260	1.402224639
261	1.402094267
262	1.401874913
263	1.401802442
264	1.401486252
265	1.401125287
266	1.400882905
267	1.400696207
268	1.400412189
269	1.400266562
270	1.39994019
271	1.399687575
272	1.399482987
273	1.399373177
274	1.399062624
275	1.398864151
276	1.398640061
277	1.398331238
278	1.398071514
279	1.397800633
280	1.39752214
281	1.397294639
282	1.396921646
283	1.396695835
284	1.396350011
285	1.396250818
286	1.39581849
287	1.395510394
288	1.395367673
289	1.394916467
290	1.394653271
291	1.394384201
292	1.394168803
293	1.393820118
294	1.393664969
295	1.393339106
296	1.393195527
297	1.393005436
298	1.392809549
299	1.392450238
300	1.392367286
301	1.392150391
302	1.391749478
303	1.391417919
304	1.391150524
305	1.390783919
306	1.390503572
307	1.390421616
308	1.390210535
309	1.390063701
310	1.389841823
311	1.389630478
312	1.389367592
313	1.389059235
314	1.388757159
315	1.388601311
316	1.38849945
317	1.38818029
318	1.387974409
319	1.387676532
320	1.387423333
321	1.387287283
322	1.386960022
323	1.386782803
324	1.386397191
325	1.386069012
326	1.385977307
327	1.385812537
328	1.385430466
329	1.385178433
330	1.384777059
331	1.384606051
332	1.384507395
333	1.384238106
334	1.384027843
335	1.383756067
336	1.383526436
337	1.383400431
338	1.382976574
339	1.382665936
340	1.382439249
341	1.382225508
342	1.381957435
343	1.381689544
344	1.381557684
345	1.381375909
346	1.381185698
347	1.381006453
348	1.380915479
349	1.380836297
350	1.380512098
351	1.38033893
352	1.379796711
353	1.379671983
354	1.379430368
355	1.379133612
356	1.378981278
357	1.378805748
358	1.378392126
359	1.378173466
360	1.377976294
361	1.377727776
362	1.37751091
363	1.377307822
364	1.376889105
365	1.376754874
366	1.376605694
367	1.376246324
368	1.37592685
369	1.37570596
370	1.375449038
371	1.375308397
372	1.375130571
373	1.374907202
374	1.374819376
375	1.374669998
376	1.374368334
